year,month,year_month,total_rainfall,no_of_rainy_days,mean_rh,mean_sunshine_hrs,mean_temp,wet_bulb_temperature,1rm_cons,3rm_cons,5rm_cons,condo_cons,landed_cons,public_cons,private_cons
2018,01,2018-01,287.0,25.0,86.6,4.1,26.1,24.34543010752688,154.4,248.7,406.6,473.7,1090.4,324.5,588.1
2018,02,2018-02,14.8,5.0,77.2,8.0,27.2,24.058630952380952,145.9,232.9,380.8,435.4,1017.5,303.7,545.0
2018,03,2018-03,44.6,10.0,78.4,6.4,28.0,24.96532258064516,140.9,232.9,381.9,451.3,1077.1,304.0,569.2
2018,04,2018-04,61.2,14.0,78.5,6.8,28.5,25.470000000000002,158.4,264.4,437.9,518.8,1179.1,346.8,642.5
2018,05,2018-05,132.2,19.0,79.0,5.8,28.7,25.72244623655914,165.3,275.9,450.3,551.5,1197.8,359.3,672.0
2018,06,2018-06,182.6,17.0,79.3,4.1,28.4,25.57097222222222,177.8,294.9,483.4,576.7,1240.3,384.3,700.3
2018,07,2018-07,143.2,10.0,77.7,6.1,28.5,25.403091397849465,167.3,275.6,456.3,532.3,1164.4,361.8,649.9
2018,08,2018-08,121.6,11.0,77.0,6.7,28.5,25.324596774193548,164.3,271.4,445.8,511.3,1159.3,354.3,631.6
2018,09,2018-09,144.4,13.0,77.1,6.0,28.0,24.81625,164.1,273.3,452.0,537.0,1177.0,357.7,655.8
2018,10,2018-10,234.4,18.0,79.7,6.1,27.9,25.083870967741937,160.2,269.9,446.7,542.4,1210.3,353.0,666.3
2018,11,2018-11,169.6,27.0,83.2,3.8,27.3,25.04638888888889,156.9,260.2,433.7,510.3,1129.2,342.6,625.0
2018,12,2018-12,172.6,19.0,81.5,5.1,27.6,25.06532258064516,148.3,243.0,386.1,459.7,1036.1,310.4,565.9
2019,01,2019-01,63.6,9.0,75.6,7.1,28.0,24.605376344086025,153.6,252.1,401.2,480.1,1090.9,322.7,594.7
2019,02,2019-02,31.6,5.0,74.1,9.2,28.2,24.58169642857143,154.0,255.1,410.7,489.6,1114.7,328.8,606.4
2019,03,2019-03,72.2,6.0,72.3,8.3,28.7,24.7375,147.2,241.1,393.7,483.3,1077.9,313.6,595.5
2019,04,2019-04,174.8,9.0,77.6,5.9,28.6,25.502777777777776,159.9,266.1,426.0,520.6,1130.5,341.6,635.4
2019,05,2019-05,69.0,13.0,79.2,7.0,29.3,26.34193548387097,166.6,279.4,452.6,554.8,1178.2,360.6,670.7
2019,06,2019-06,173.8,16.0,79.5,5.3,28.4,25.61277777777778,168.4,275.7,462.2,543.6,1159.2,363.9,657.6
2019,07,2019-07,12.2,8.0,75.2,7.5,29.0,25.546505376344083,163.9,270.2,447.9,514.0,1119.8,354.5,626.0
2019,08,2019-08,11.8,6.0,72.1,7.6,29.1,25.14758064516129,169.7,281.5,461.8,531.6,1183.0,366.2,651.2
